,movie,budget_int,total_gross_int,gross_margin,release_year,tconst,runtime_minutes,genre_lists,main_genre,averageRating,title,region,is_original_title,gross_margin_dollars
39945,Woodstock,600000,69010220,99.13,1970,,,,,,,,,68410220
39946,M*A*S*H,3500000,163200000,97.86,1970,,,,,,,,,159700000
39947,Beyond the Valley of the Dolls,1000000,18000000,94.44,1970,,,,,,,,,17000000
39948,Beneath the Planet of the Apes,3000000,34978018,91.42,1970,,,,,,,,,31978018
39949,Patton,12000000,125000000,90.4,1970,,,,,,,,,113000000
39950,Catch-22,18000000,49823340,63.87,1970,,,,,,,,,31823340
39951,"Tora, Tora, Tora",25000000,59096582,57.7,1970,,,,,,,,,34096582
39952,The Ballad of Cable Hogue,3716946,8500000,56.27,1970,,,,,,,,,4783054
39953,Darling Lili,22000000,10000000,-120.0,1970,,,,,,,,,-12000000
39954,The Molly Maguires,11000000,4400000,-150.0,1970,,,,,,,,,-6600000
39955,The Stewardesses,200000,38500000,99.48,1969,,,,,,,,,38300000
39956,Butch Cassidy and the Sundance Kid,6000000,204619553,97.07,1969,,,,,,,,,198619553
39957,Midnight Cowboy,3600000,89570106,95.98,1969,,,,,,,,,85970106
39958,On Her Majesty's Secret Service,8000000,104800000,92.37,1969,,,,,,,,,96800000
39959,Paint Your Wagon,20000000,63357556,68.43,1969,,,,,,,,,43357556
39960,Topaz,4000000,12000000,66.67,1969,,,,,,,,,8000000
39961,"Hello, Dolly",24000000,66416198,63.86,1969,,,,,,,,,42416198
39962,Once Upon a Time in the West,5000000,10699933,53.27,1969,,,,,,,,,5699933
39963,Sweet Charity,20000000,16000000,-25.0,1969,,,,,,,,,-4000000
39964,The Wild Bunch,6000000,1018848,-488.9,1969,,,,,,,,,-4981152
39966,Rosemary's Baby,3200000,66790852,95.21,1968,,,,,,,,,63590852
39967,2001: A Space Odyssey,10500000,131864367,92.04,1968,,,,,,,,,121364367
39969,Hang 'em High,1800000,13600000,86.76,1968,,,,,,,,,11800000
39970,Oliver!,10000000,74805754,86.63,1968,,,,,,,,,64805754
39971,Shalako,1455000,5240000,72.23,1968,,,,,,,,,3785000
39972,La mariÃ©e Ã©tait en noir,747000,89132,-738.08,1968,,,,,,,,,-657868
39973,Per un pugno di dollari,200000,7016248,97.15,1967,,,,,,,,,6816248
39974,In the Heat of the Night,2000000,48787625,95.9,1967,,,,,,,,,46787625
39975,You Only Live Twice,9500000,154700000,93.86,1967,,,,,,,,,145200000
39976,Per qualche dollaro in piÃ¹,600000,8600000,93.02,1967,,,,,,,,,8000000
39977,"Il buono, il brutto, il cattivo",1200000,12200000,90.16,1967,,,,,,,,,11000000
39978,In Cold Blood,3500000,26007551,86.54,1967,,,,,,,,,22507551
39980,A Man for All Seasons,3900000,56700000,93.12,1966,,,,,,,,,52800000
39981,Torn Curtain,3000000,26000000,88.46,1966,,,,,,,,,23000000
39982,Harper,3500000,24000000,85.42,1966,,,,,,,,,20500000
39983,Hawaii,15000000,69124444,78.3,1966,,,,,,,,,54124444
39984,The Sound of Music,8200000,449428572,98.18,1965,,,,,,,,,441228572
39985,Thunderball,9000000,204800000,95.61,1965,,,,,,,,,195800000
39986,Doctor Zhivago,11000000,223934153,95.09,1965,,,,,,,,,212934153
39987,The Train,5800000,13600000,57.35,1965,,,,,,,,,7800000
39988,The Greatest Story Ever Told,20000000,30946666,35.37,1965,,,,,,,,,10946666
39989,Major Dundee,3800000,29746,-12674.83,1965,,,,,,,,,-3770254
39990,Goldfinger,3000000,176000000,98.3,1964,,,,,,,,,173000000
39991,From Russia With Love,2000000,103700000,98.07,1964,,,,,,,,,101700000
39992,Mary Poppins,6000000,204544290,97.07,1964,,,,,,,,,198544290
39993,Dr. Strangelove,1800000,18395048,90.21,1964,,,,,,,,,16595048
39994,My Fair Lady,17000000,144071636,88.2,1964,,,,,,,,,127071636
39995,A Hard Day's Night,560000,3164644,82.3,1964,,,,,,,,,2604644
39996,The Fall of the Roman Empire,19000000,9500000,-100.0,1964,,,,,,,,,-9500000
39997,Dr. No,1000000,75634070,98.68,1963,,,,,,,,,74634070
39998,Tom Jones,1000000,75200000,98.67,1963,,,,,,,,,74200000
39999,It's a Mad Mad Mad Mad World,9400000,106300000,91.16,1963,,,,,,,,,96900000
40000,Hud,2500000,20000000,87.5,1963,,,,,,,,,17500000
40001,The Great Escape,4000000,23717032,83.13,1963,,,,,,,,,19717032
40002,Donovan's Reef,2686000,13200000,79.65,1963,,,,,,,,,10514000
40003,Cleopatra,42000000,128000000,67.19,1963,,,,,,,,,86000000
40004,55 Days at Peking,17000000,20000000,15.0,1963,,,,,,,,,3000000
40005,To Kill A Mockingbird,2000000,26259692,92.38,1962,,,,,,,,,24259692
40007,The Longest Day,10000000,89200000,88.79,1962,,,,,,,,,79200000
40008,Lawrence of Arabia,15000000,107490770,86.05,1962,,,,,,,,,92490770
40009,The Man Who Shot Liberty Valance,3200000,16000000,80.0,1962,,,,,,,,,12800000
40010,State Fair,4500000,7000000,35.71,1962,,,,,,,,,2500000
40011,Mutiny on The Bounty,19000000,27360000,30.56,1962,,,,,,,,,8360000
40012,West Side Story,6000000,87400000,93.14,1961,,,,,,,,,81400000
40013,The Hustler,2000000,15200000,86.84,1961,,,,,,,,,13200000
40014,Judgment at Nuremberg,3000000,20000000,85.0,1961,,,,,,,,,17000000
40015,The Misfits,4000000,16400000,75.61,1961,,,,,,,,,12400000
40016,Pocketful of Miracles,2900000,10000000,71.0,1961,,,,,,,,,7100000
40017,The Apartment,3000000,43200000,93.06,1960,,,,,,,,,40200000
40018,Exodus,4000000,43500000,90.8,1960,,,,,,,,,39500000
40019,Spartacus,12000000,90000000,86.67,1960,,,,,,,,,78000000
40020,Elmer Gantry,3000000,20800000,85.58,1960,,,,,,,,,17800000
40022,Some Like it Hot,2883848,50019542,94.23,1959,,,,,,,,,47135694
40024,The Nun's Story,3500000,25600000,86.33,1959,,,,,,,,,22100000
40025,Solomon and Sheba,5000000,22014961,77.29,1959,,,,,,,,,17014961
